data_long1,data_long2,data_long3,data_long4
0.0235000965121395,0.4,6,dm1_R
0.0564622014225583,0.7,1,dm4_R
0.0408279785775828,0.7,2,dm4m_R
0.000643589088536359,0.7,3,dm2_R
0.0581266545632704,0.7,4,dm3_R
-0.0122023850970154,0.7,5,dldm_R
0.0186332883992708,0.7,6,dm1_R
0.019515469747448,0,1,dm4_R
0.0185283025875769,0,2,dm4m_R
0.0409876280943788,0,3,dm2_R
-0.00817440982550913,0,4,dm3_R
-0.0376762080342615,0,5,dldm_R
0.0178980148077275,0,6,dm1_R
0.026419977351147,0.7,1,dm4_R
0.0495564148271248,0.7,2,dm4m_R
0.0494610789571748,0.7,3,dm2_R
0.0170013423628119,0.7,4,dm3_R
0.0302955411309493,0.7,5,dldm_R
-0.0063226869666311,0.7,6,dm1_R
0.142315258797437,0.8,1,dm4_R
0.155751633757823,0.8,2,dm4m_R
0.0900595388666426,0.8,3,dm2_R
0.156176027677441,0.8,4,dm3_R
0.0218264641880485,0.8,5,dldm_R
0.0350023769518701,0.8,6,dm1_R
-0.0216362149031207,0.4,1,dm4_R
-0.0145520361197174,0.4,2,dm4m_R
-0.0226009546912869,0.4,3,dm2_R
-0.0299705903134515,0.4,4,dm3_R
-0.0293165724444127,0.4,5,dldm_R
-0.0324596778559394,0.4,6,dm1_R
0.0942555571821856,0.7,1,dm4_R
0.109935325136715,0.7,2,dm4m_R
0.0279989824867447,0.7,3,dm2_R
0.0268083448626435,0.7,4,dm3_R
0.00597198170849574,0.7,5,dldm_R
-0.00377432644351135,0.7,6,dm1_R
0.0399516272811193,0.4,1,dm4_R
0.0446257840878725,0.4,2,dm4m_R
0.0263830499067783,0.4,3,dm2_R
-0.0421876867608806,0.4,4,dm3_R
-0.00167634244139371,0.4,5,dldm_R
-0.0430257470285824,0.4,6,dm1_R
0.0750913482095592,0.8,1,dm4_R
0.0484827993862927,0.8,2,dm4m_R
0.0555686940666752,0.8,3,dm2_R
0.0501268500429786,0.8,4,dm3_R
0.0583115890220012,0.8,5,dldm_R
0.0597002319798366,0.8,6,dm1_R
0.0443342561301121,0,1,dm4_R
0.0630143128303714,0,2,dm4m_R
0.032052848552963,0,3,dm2_R
0.0382077826806491,0,4,dm3_R
0.0340809498739345,0,5,dldm_R
0.0292957760813209,0,6,dm1_R
0.0610937641902818,0,1,dm4_R
0.0631832688483653,0,2,dm4m_R
0.0303782365628203,0,3,dm2_R
0.0151215739360251,0,4,dm3_R
0.0485218976122767,0,5,dldm_R
0.0196020649221349,0,6,dm1_R
-0.111665524413534,0.8,1,dm4_R
-0.0815416786262849,0.8,2,dm4m_R
-0.0575493886818347,0.8,3,dm2_R
-0.0846328267584694,0.8,4,dm3_R
-0.095254199725266,0.8,5,dldm_R
-0.0592410441164568,0.8,6,dm1_R
0.0364439698511735,0.7,1,dm4_R
0.0748983387308773,0.7,2,dm4m_R
0.0413028421400091,0.7,3,dm2_R
0.047119439411956,0.7,4,dm3_R
0.057555510483931,0.7,5,dldm_R
-0.015748521545618,0.7,6,dm1_R
-0.0291355377772635,0.4,1,dm4_R
0.00615291184276155,0.4,2,dm4m_R
0.0269702132774947,0.4,3,dm2_R
-0.0235193030657919,0.4,4,dm3_R
0.00388984535675007,0.4,5,dldm_R
0.0458588445073013,0.4,6,dm1_R
-0.00310259229534317,0.4,1,dm4_R
0.00991249011522822,0.4,2,dm4m_R
0.00185232074012725,0.4,3,dm2_R
0.0343165896537885,0.4,4,dm3_R
0.0177744625693367,0.4,5,dldm_R
-0.00461106252158563,0.4,6,dm1_R
0.00486133964666707,0.7,1,dm4_R
0.00713535397698136,0.7,2,dm4m_R
-0.00720712596526148,0.7,3,dm2_R
0.0297171516024468,0.7,4,dm3_R
0.0270813549649048,0.7,5,dldm_R
0.0176527696706629,0.7,6,dm1_R
0.0302904566807823,0.8,1,dm4_R
0.0418096807221553,0.8,2,dm4m_R
0.0389842931329687,0.8,3,dm2_R
0.0190225129194893,0.8,4,dm3_R
0.0182659579997297,0.8,5,dldm_R
0.0416149751673842,0.8,6,dm1_R
-0.0574002780201013,0,1,dm4_R
-0.043730209200918,0,2,dm4m_R
-0.0156326813004682,0,3,dm2_R
-0.0290251711882758,0,4,dm3_R
-0.0331018154826424,0,5,dldm_R
-9.4298063461699e-05,0,6,dm1_R
