data_long1,data_long2,data_long3,data_long4
0.265235871659526,0.7,1,dm4_R
0.289544916877977,0.7,2,dm4m_R
0.178013566795906,0.7,3,dm2_R
0.163695375841135,0.7,4,dm3_R
0.092184074230414,0.7,5,dldm_R
0.072405766952045,0.7,6,dm1_R
0.032291360898812,0.4,1,dm4_R
0.065422917540107,0.4,2,dm4m_R
0.045480243062651,0.4,3,dm2_R
0.059110409430176,0.4,4,dm3_R
0.047814593105193,0.4,5,dldm_R
0.012638782440434,0.4,6,dm1_R
0.131787060956259,0.4,1,dm4_R
0.149166221154236,0.4,2,dm4m_R
0.146210314482335,0.4,3,dm2_R
0.104923149482066,0.4,4,dm3_R
0.107598018440981,0.4,5,dldm_R
0.151787330044599,0.4,6,dm1_R
0.690345133232257,0.7,1,dm4_R
0.547576582383032,0.7,2,dm4m_R
0.615852369343313,0.7,3,dm2_R
0.707896102712652,0.7,4,dm3_R
0.735653894330263,0.7,5,dldm_R
0.45387756433185,0.7,6,dm1_R
0.66395674562408,0.8,1,dm4_R
0.608265903069232,0.8,2,dm4m_R
0.670554666265049,0.8,3,dm2_R
0.759386833553372,0.8,4,dm3_R
0.768222378570121,0.8,5,dldm_R
0.495322956469498,0.8,6,dm1_R
-0.032337406323907,0,1,dm4_R
0.003589872265742,0,2,dm4m_R
0.043835797621059,0,3,dm2_R
0.043458789916893,0,4,dm3_R
0.024910089038162,0,5,dldm_R
0.071649054648301,0,6,dm1_R
0.01800762339956,0.4,1,dm4_R
0.075330788696255,0.4,2,dm4m_R
0.10547822545411,0.4,3,dm2_R
-0.036324865989823,0.4,4,dm3_R
0.035136735942893,0.4,5,dldm_R
0.072097086169174,0.4,6,dm1_R
-0.041860976672439,0,1,dm4_R
0.010746267545091,0,2,dm4m_R
0.008152563092693,0,3,dm2_R
-0.032249206636722,0,4,dm3_R
0.022810652827227,0,5,dldm_R
0.019394362381174,0,6,dm1_R
0.140003367933907,0.8,1,dm4_R
0.116211125574091,0.8,2,dm4m_R
0.058003364648535,0.8,3,dm2_R
0.085094610646973,0.8,4,dm3_R
0.023853781066066,0.8,5,dldm_R
0.021659494817297,0.8,6,dm1_R
0.143263674850544,0.7,1,dm4_R
0.184450065646278,0.7,2,dm4m_R
0.156100558654889,0.7,3,dm2_R
0.135961068598782,0.7,4,dm3_R
0.108737588293347,0.7,5,dldm_R
0.15836564526467,0.7,6,dm1_R
0.512417398011465,0.4,1,dm4_R
0.492614610763694,0.4,2,dm4m_R
0.586582979020376,0.4,3,dm2_R
0.790958652692879,0.4,4,dm3_R
0.734338688208704,0.4,5,dldm_R
0.491885584839512,0.4,6,dm1_R
