data_long1,data_long2,data_long3,data_long4
0.00322633418172684,0,6,dm1_R
0.00517254730473472,0.8,1,dm4_R
0.00611902623609504,0.8,2,dm4m_R
0.00256943428092635,0.8,3,dm2_R
0.00195650121295141,0.8,4,dm3_R
0.00228759697827412,0.8,5,dldm_R
0.000948185314184894,0.8,6,dm1_R
0.00202246651185719,0.4,1,dm4_R
0.00263463457901542,0.4,2,dm4m_R
0.00137466007872174,0.4,3,dm2_R
0.000969049665235866,0.4,4,dm3_R
0.000814457794415176,0.4,5,dldm_R
0.000813579854919665,0.4,6,dm1_R
0.00604488131018737,0.7,1,dm4_R
0.00500469865168339,0.7,2,dm4m_R
0.00679817496584621,0.7,3,dm2_R
0.00724506771531868,0.7,4,dm3_R
0.0076301618496999,0.7,5,dldm_R
0.00488079606808945,0.7,6,dm1_R
0.00136578390205632,0,1,dm4_R
0.00178055339851175,0,2,dm4m_R
0.00110008433802437,0,3,dm2_R
0.00113930173801736,0,4,dm3_R
0.000717670915750555,0,5,dldm_R
0.000819299066012303,0,6,dm1_R
0.00340571844881068,0.7,1,dm4_R
0.00387429087957318,0.7,2,dm4m_R
0.00244160871269006,0.7,3,dm2_R
0.00215891498698105,0.7,4,dm3_R
0.00252808448446049,0.7,5,dldm_R
0.000932424780339651,0.7,6,dm1_R
0.00370921706784612,0.8,1,dm4_R
0.00516979767598793,0.8,2,dm4m_R
0.0029942405160948,0.8,3,dm2_R
0.00150710540757524,0.8,4,dm3_R
0.000627358785733277,0.8,5,dldm_R
-0.00136185853541596,0.8,6,dm1_R
0.00217694644737721,0.4,1,dm4_R
0.00156724343068208,0.4,2,dm4m_R
0.000906412771241977,0.4,3,dm2_R
0.000771463364927427,0.4,4,dm3_R
0.000318963652244065,0.4,5,dldm_R
0.000313975957251731,0.4,6,dm1_R
0.00943587473659752,0.7,1,dm4_R
0.00964397824374933,0.7,2,dm4m_R
0.0117088642864355,0.7,3,dm2_R
0.0126349976618406,0.7,4,dm3_R
0.0125993388493962,0.7,5,dldm_R
0.00843399681543736,0.7,6,dm1_R
0.000981348542650159,0.4,1,dm4_R
0.00107417679181739,0.4,2,dm4m_R
0.000551962069513938,0.4,3,dm2_R
0.000677507292930197,0.4,4,dm3_R
0.000366969771287011,0.4,5,dldm_R
0.000765071428930358,0.4,6,dm1_R
0.0077383700002997,0.8,1,dm4_R
0.00704828221996137,0.8,2,dm4m_R
0.00888885567850984,0.8,3,dm2_R
0.0107204279004415,0.8,4,dm3_R
0.0112432156234384,0.8,5,dldm_R
0.007167425468343,0.8,6,dm1_R
0.00179878649053877,0,1,dm4_R
0.001568846892441,0,2,dm4m_R
0.000687910234394198,0,3,dm2_R
0.00053838015246882,0,4,dm3_R
0.000363516467339084,0,5,dldm_R
0.000733500042133447,0,6,dm1_R
0.00307004942455596,0,1,dm4_R
0.00306161141626099,0,2,dm4m_R
0.00111749308513281,0,3,dm2_R
0.000473500779628205,0,4,dm3_R
